Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,Departement
35191,LES PORTES DU COGLAIS,35460,LA SELLE EN COGLES,LES PORTES DU COGLAIS,"48.4485377499,-1.30298513536",35
35004,VAL COUESNON,35460,ST OUEN LA ROUERIE,VAL COUESNON,"48.4623399244,-1.47875897631",35
35257,MAEN ROCH,35460,ST BRICE EN COGLES,MAEN ROCH,"48.4132416625,-1.3677414096",35
35257,MAEN ROCH,35460,ST ETIENNE EN COGLES,MAEN ROCH,"48.4132416625,-1.3677414096",35
35292,ST MARC LE BLANC,35460,BAILLE,ST MARC LE BLANC,"48.3752704313,-1.40505053569",35
35004,VAL COUESNON,35460,TREMBLAY,VAL COUESNON,"48.4623399244,-1.47875897631",35
35191,LES PORTES DU COGLAIS,35460,MONTOURS,LES PORTES DU COGLAIS,"48.4485377499,-1.30298513536",35
35292,ST MARC LE BLANC,35460,"",ST MARC LE BLANC,"48.3752704313,-1.40505053569",35
35336,LE TIERCENT,35460,"",LE TIERCENT,"48.3496552529,-1.42320230494",35
35012,BAIN DE BRETAGNE,35470,"",BAIN DE BRETAGNE,"47.8302948158,-1.67649507218",35
35221,PLECHATEL,35470,LE CHATELLIER,PLECHATEL,"47.8751941838,-1.73375846531",35
35202,LA NOE BLANCHE,35470,"",LA NOE BLANCHE,"47.795066917,-1.7451274838",35
35221,PLECHATEL,35470,"",PLECHATEL,"47.8751941838,-1.73375846531",35
35289,ST MALO DE PHILY,35480,"",ST MALO DE PHILY,"47.8681860687,-1.80518886357",35
35176,GUIPRY MESSAC,35480,GUIPRY,GUIPRY MESSAC,"47.8050001887,-1.79981410683",35
35176,GUIPRY MESSAC,35480,MESSAC,GUIPRY MESSAC,"47.8050001887,-1.79981410683",35
35326,SENS DE BRETAGNE,35490,"",SENS DE BRETAGNE,"48.3367315734,-1.55392717615",35
35244,ROMAZY,35490,"",ROMAZY,"48.3796845502,-1.49290381835",35
35075,CHAUVIGNE,35490,"",CHAUVIGNE,"48.3766708439,-1.45244219408",35
35118,GAHARD,35490,"",GAHARD,"48.2882041864,-1.52746285795",35
35355,VIEUX VY SUR COUESNON,35490,"",VIEUX VY SUR COUESNON,"48.3340738846,-1.49930744372",35
35015,BALAZE,35500,"",BALAZE,"48.1777363541,-1.18302870433",35
35061,LA CHAPELLE ERBREE,35500,"",LA CHAPELLE ERBREE,"48.1402551265,-1.08972100382",35
35087,CORNILLE,35500,"",CORNILLE,"48.0822592123,-1.31389594614",35
35360,VITRE,35500,"",VITRE,"48.1140815063,-1.19370720718",35
35105,ERBREE,35500,"",ERBREE,"48.1094104255,-1.11698541654",35
35229,POCE LES BOIS,35500,"",POCE LES BOIS,"48.115220187,-1.25960973465",35
35300,ST M HERVE,35500,"",ST M HERVE,"48.1724748255,-1.11096874338",35
